Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max yield strength in Dataset,Phase,Stopping Reason
0,3,1341.7,,,2510.3,WarmStart,WarmStart
1,13,1299.8,,,2510.3,WarmStart,WarmStart
2,24,1383.7,,,2510.3,WarmStart,WarmStart
3,36,1245.4,,,2510.3,WarmStart,WarmStart
4,50,1371.4,,,2510.3,WarmStart,WarmStart
5,52,1332.7,,,2510.3,WarmStart,WarmStart
6,53,1372.9,,,2510.3,WarmStart,WarmStart
7,57,1235.9,,,2510.3,WarmStart,WarmStart
8,63,1423.8,,,2510.3,WarmStart,WarmStart
9,73,2381.6,,,2510.3,WarmStart,WarmStart
10,84,1278.2,,,2510.3,WarmStart,WarmStart
11,87,1393.5,,,2510.3,WarmStart,WarmStart
12,110,1241.0,,,2510.3,WarmStart,WarmStart
13,155,1344.4,,,2510.3,WarmStart,WarmStart
14,175,1074.9,,,2510.3,WarmStart,WarmStart
15,197,1348.9,,,2510.3,WarmStart,WarmStart
16,199,1369.5,,,2510.3,WarmStart,WarmStart
17,239,1144.8,,,2510.3,WarmStart,WarmStart
18,267,1352.2,,,2510.3,WarmStart,WarmStart
19,289,1571.2,,,2510.3,WarmStart,WarmStart
20,292,2372.4,,,2510.3,WarmStart,WarmStart
21,304,1302.8,,,2510.3,WarmStart,WarmStart
22,308,1258.6,,,2510.3,WarmStart,WarmStart
23,309,1212.0,,,2510.3,WarmStart,WarmStart
24,306,2510.3,2254.301500000002,988.0999999999999,2510.3,ActiveLearning,Max yield strength in Dataset reached
