Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max yield strength in Dataset,Phase,Stopping Reason
0,3,1341.7,,,2510.3,WarmStart,WarmStart
1,5,1164.4,,,2510.3,WarmStart,WarmStart
2,10,1218.4,,,2510.3,WarmStart,WarmStart
3,24,1383.7,,,2510.3,WarmStart,WarmStart
4,27,1825.8,,,2510.3,WarmStart,WarmStart
5,43,1026.6,,,2510.3,WarmStart,WarmStart
6,49,1550.3,,,2510.3,WarmStart,WarmStart
7,53,1372.9,,,2510.3,WarmStart,WarmStart
8,57,1235.9,,,2510.3,WarmStart,WarmStart
9,67,1438.6,,,2510.3,WarmStart,WarmStart
10,73,2381.6,,,2510.3,WarmStart,WarmStart
11,76,1669.3,,,2510.3,WarmStart,WarmStart
12,78,1580.1,,,2510.3,WarmStart,WarmStart
13,84,1278.2,,,2510.3,WarmStart,WarmStart
14,86,1453.8,,,2510.3,WarmStart,WarmStart
15,87,1393.5,,,2510.3,WarmStart,WarmStart
16,93,1755.2,,,2510.3,WarmStart,WarmStart
17,96,1233.3,,,2510.3,WarmStart,WarmStart
18,98,1243.4,,,2510.3,WarmStart,WarmStart
19,99,2411.5,,,2510.3,WarmStart,WarmStart
20,107,1309.1,,,2510.3,WarmStart,WarmStart
21,118,1603.3,,,2510.3,WarmStart,WarmStart
22,123,1729.4,,,2510.3,WarmStart,WarmStart
23,159,2356.4,,,2510.3,WarmStart,WarmStart
24,175,1074.9,,,2510.3,WarmStart,WarmStart
25,178,1460.7,,,2510.3,WarmStart,WarmStart
26,184,1012.8,,,2510.3,WarmStart,WarmStart
27,194,1233.3,,,2510.3,WarmStart,WarmStart
28,201,1586.7,,,2510.3,WarmStart,WarmStart
29,210,1580.0,,,2510.3,WarmStart,WarmStart
30,220,1373.9,,,2510.3,WarmStart,WarmStart
31,232,1515.8,,,2510.3,WarmStart,WarmStart
32,233,1088.6,,,2510.3,WarmStart,WarmStart
33,240,1267.1,,,2510.3,WarmStart,WarmStart
34,264,1288.4,,,2510.3,WarmStart,WarmStart
35,269,1368.5,,,2510.3,WarmStart,WarmStart
36,274,1486.2,,,2510.3,WarmStart,WarmStart
37,288,1768.0,,,2510.3,WarmStart,WarmStart
38,289,1571.2,,,2510.3,WarmStart,WarmStart
39,302,1311.1,,,2510.3,WarmStart,WarmStart
40,308,1258.6,,,2510.3,WarmStart,WarmStart
41,309,1212.0,,,2510.3,WarmStart,WarmStart
42,71,2501.1,2288.8127499999973,840.3,2510.3,ActiveLearning,Continuing
43,206,2331.1,2351.092499999993,929.8999999999999,2510.3,ActiveLearning,Continuing
44,31,2487.3,2307.143249999995,929.8999999999999,2510.3,ActiveLearning,Continuing
45,212,2249.6,2378.232749999996,929.8999999999999,2510.3,ActiveLearning,Continuing
46,191,2411.5,2288.2612499999923,929.8999999999999,2510.3,ActiveLearning,Continuing
47,273,2402.3,2247.194749999993,1192.0,2510.3,ActiveLearning,Continuing
48,306,2510.3,2248.962249999998,1178.2000000000003,2510.3,ActiveLearning,Max yield strength in Dataset reached
