Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max yield strength in Dataset,Phase,Stopping Reason
0,7,1306.9,,,2510.3,WarmStart,WarmStart
1,73,2381.6,,,2510.3,WarmStart,WarmStart
2,76,1669.3,,,2510.3,WarmStart,WarmStart
3,78,1580.1,,,2510.3,WarmStart,WarmStart
4,87,1393.5,,,2510.3,WarmStart,WarmStart
5,107,1309.1,,,2510.3,WarmStart,WarmStart
6,140,1521.3,,,2510.3,WarmStart,WarmStart
7,154,1123.1,,,2510.3,WarmStart,WarmStart
8,195,1296.0,,,2510.3,WarmStart,WarmStart
9,240,1267.1,,,2510.3,WarmStart,WarmStart
10,288,1768.0,,,2510.3,WarmStart,WarmStart
11,289,1571.2,,,2510.3,WarmStart,WarmStart
12,292,2372.4,,,2510.3,WarmStart,WarmStart
13,47,1228.9,2039.378499999998,1258.5,2510.3,ActiveLearning,Continuing
14,106,2381.6,2264.562,988.0999999999999,2510.3,ActiveLearning,Continuing
15,159,2356.4,2153.8114999999916,1114.5,2510.3,ActiveLearning,Continuing
16,194,1233.3,2052.097249999999,1258.5,2510.3,ActiveLearning,Continuing
17,71,2501.1,2253.213250000002,1148.3,2510.3,ActiveLearning,Continuing
18,191,2411.5,2293.683499999994,1267.8,2510.3,ActiveLearning,Continuing
19,160,1309.1,1956.471250000001,1378.0,2510.3,ActiveLearning,Continuing
20,273,2402.3,2360.430499999991,929.8999999999999,2510.3,ActiveLearning,Continuing
21,31,2487.3,2341.0497499999997,929.8999999999999,2510.3,ActiveLearning,Continuing
22,212,2249.6,2353.4399999999987,929.8999999999999,2510.3,ActiveLearning,Continuing
23,40,2157.3,1942.8149999999964,1178.2000000000003,2510.3,ActiveLearning,Continuing
24,200,1133.4,1641.8782500000025,1364.2000000000003,2510.3,ActiveLearning,Continuing
25,147,1736.3,1679.4374999999966,1364.2000000000003,2510.3,ActiveLearning,Continuing
26,79,1641.2,1750.471749999997,1178.2,2510.3,ActiveLearning,Continuing
27,225,1088.6,1610.3767500000001,1353.9,2510.3,ActiveLearning,Continuing
28,127,1737.2,1675.309499999997,1123.8999999999994,2510.3,ActiveLearning,Continuing
29,207,1019.0,1476.6082499999952,1284.2599999999998,2510.3,ActiveLearning,Continuing
30,16,1328.3,1359.886249999999,1392.5,2510.3,ActiveLearning,Continuing
31,108,1164.4,1614.9997499999972,1123.1000000000001,2510.3,ActiveLearning,Continuing
32,6,1605.4,1561.4689999999962,1292.1899999999969,2510.3,ActiveLearning,Continuing
33,306,2510.3,2305.4382500000074,924.9849999999997,2510.3,ActiveLearning,Max yield strength in Dataset reached
