Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max yield strength in Dataset,Phase,Stopping Reason
0,5,1164.4,,,2510.3,WarmStart,WarmStart
1,57,1235.9,,,2510.3,WarmStart,WarmStart
2,76,1669.3,,,2510.3,WarmStart,WarmStart
3,78,1580.1,,,2510.3,WarmStart,WarmStart
4,84,1278.2,,,2510.3,WarmStart,WarmStart
5,87,1393.5,,,2510.3,WarmStart,WarmStart
6,94,1376.3,,,2510.3,WarmStart,WarmStart
7,118,1603.3,,,2510.3,WarmStart,WarmStart
8,151,1109.3,,,2510.3,WarmStart,WarmStart
9,159,2356.4,,,2510.3,WarmStart,WarmStart
10,184,1012.8,,,2510.3,WarmStart,WarmStart
11,194,1233.3,,,2510.3,WarmStart,WarmStart
12,240,1267.1,,,2510.3,WarmStart,WarmStart
13,301,1359.7,,,2510.3,WarmStart,WarmStart
14,311,1376.7,,,2510.3,WarmStart,WarmStart
15,31,2487.3,1911.3257500000086,1123.1000000000001,2510.3,ActiveLearning,Continuing
16,71,2501.1,2232.9335000000137,1221.89,2510.3,ActiveLearning,Continuing
17,191,2411.5,2297.7140000000036,1267.8,2510.3,ActiveLearning,Continuing
18,106,2381.6,2184.105250000005,1267.8,2510.3,ActiveLearning,Continuing
19,73,2381.6,2144.8490000000047,1234.0,2510.3,ActiveLearning,Continuing
20,47,1228.9,1998.547500000004,1265.1999999999998,2510.3,ActiveLearning,Continuing
21,99,2411.5,2363.7689999999957,897.8,2510.3,ActiveLearning,Continuing
22,40,2157.3,2289.84725,1107.6,2510.3,ActiveLearning,Continuing
23,289,1571.2,1950.037000000003,1254.0000000000002,2510.3,ActiveLearning,Continuing
24,292,2372.4,2329.0262499999926,916.1000000000001,2510.3,ActiveLearning,Continuing
25,273,2402.3,2321.6154999999962,929.8999999999999,2510.3,ActiveLearning,Continuing
26,79,1641.2,1863.659500000003,1254.0000000000002,2510.3,ActiveLearning,Continuing
27,277,1172.0,1587.9465000000027,1389.5000000000002,2510.3,ActiveLearning,Continuing
28,147,1736.3,1621.120750000001,1322.9,2510.3,ActiveLearning,Continuing
29,237,1350.4,1505.2340000000027,1389.5000000000002,2510.3,ActiveLearning,Continuing
30,205,1730.2,1634.0559999999996,1238.3599999999997,2510.3,ActiveLearning,Continuing
31,185,1998.6,1694.603249999998,1123.8999999999994,2510.3,ActiveLearning,Continuing
32,203,1688.1,1657.382749999999,1200.78,2510.3,ActiveLearning,Continuing
33,212,2249.6,2350.847750000003,502.5,2510.3,ActiveLearning,Continuing
34,108,1164.4,1674.0262499999956,1139.1000000000001,2510.3,ActiveLearning,Continuing
35,6,1605.4,1507.257500000002,1368.8,2510.3,ActiveLearning,Continuing
36,210,1580.0,1495.3439999999973,1368.8,2510.3,ActiveLearning,Continuing
37,44,1474.4,1566.4900000000046,1247.1000000000001,2510.3,ActiveLearning,Continuing
38,64,1661.2,1724.0934999999947,1085.1999999999998,2510.3,ActiveLearning,Continuing
39,225,1088.6,1477.9065000000026,1272.3,2510.3,ActiveLearning,Continuing
40,306,2510.3,2342.690000000006,330.0,2510.3,ActiveLearning,Max yield strength in Dataset reached
