Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max yield strength in Dataset,Phase,Stopping Reason
0,17,1188.6,,,2510.3,WarmStart,WarmStart
1,19,1723.2,,,2510.3,WarmStart,WarmStart
2,21,1860.3,,,2510.3,WarmStart,WarmStart
3,25,1005.9,,,2510.3,WarmStart,WarmStart
4,29,1254.0,,,2510.3,WarmStart,WarmStart
5,33,1819.0,,,2510.3,WarmStart,WarmStart
6,34,1730.2,,,2510.3,WarmStart,WarmStart
7,46,1798.3,,,2510.3,WarmStart,WarmStart
8,50,1371.4,,,2510.3,WarmStart,WarmStart
9,51,1462.7,,,2510.3,WarmStart,WarmStart
10,63,1423.8,,,2510.3,WarmStart,WarmStart
11,64,1661.2,,,2510.3,WarmStart,WarmStart
12,68,2006.0,,,2510.3,WarmStart,WarmStart
13,70,1087.0,,,2510.3,WarmStart,WarmStart
14,77,1653.6,,,2510.3,WarmStart,WarmStart
15,78,1580.1,,,2510.3,WarmStart,WarmStart
16,79,1641.2,,,2510.3,WarmStart,WarmStart
17,80,1125.0,,,2510.3,WarmStart,WarmStart
18,116,1010.8,,,2510.3,WarmStart,WarmStart
19,119,1736.3,,,2510.3,WarmStart,WarmStart
20,127,1737.2,,,2510.3,WarmStart,WarmStart
21,134,1282.2,,,2510.3,WarmStart,WarmStart
22,142,1340.1,,,2510.3,WarmStart,WarmStart
23,143,1216.8,,,2510.3,WarmStart,WarmStart
24,146,1722.5,,,2510.3,WarmStart,WarmStart
25,150,1846.5,,,2510.3,WarmStart,WarmStart
26,158,1688.1,,,2510.3,WarmStart,WarmStart
27,159,2356.4,,,2510.3,WarmStart,WarmStart
28,160,1309.1,,,2510.3,WarmStart,WarmStart
29,163,1383.5,,,2510.3,WarmStart,WarmStart
30,166,1091.4,,,2510.3,WarmStart,WarmStart
31,173,1522.7,,,2510.3,WarmStart,WarmStart
32,185,1998.6,,,2510.3,WarmStart,WarmStart
33,188,1681.2,,,2510.3,WarmStart,WarmStart
34,193,1784.5,,,2510.3,WarmStart,WarmStart
35,203,1688.1,,,2510.3,WarmStart,WarmStart
36,204,2005.5,,,2510.3,WarmStart,WarmStart
37,205,1730.2,,,2510.3,WarmStart,WarmStart
38,215,1688.1,,,2510.3,WarmStart,WarmStart
39,227,1874.6,,,2510.3,WarmStart,WarmStart
40,230,1475.8,,,2510.3,WarmStart,WarmStart
41,241,1218.8,,,2510.3,WarmStart,WarmStart
42,242,1305.4,,,2510.3,WarmStart,WarmStart
43,246,1564.0,,,2510.3,WarmStart,WarmStart
44,260,1599.4,,,2510.3,WarmStart,WarmStart
45,266,1667.4,,,2510.3,WarmStart,WarmStart
46,275,1392.4,,,2510.3,WarmStart,WarmStart
47,279,1805.2,,,2510.3,WarmStart,WarmStart
48,280,1730.2,,,2510.3,WarmStart,WarmStart
49,285,1812.1,,,2510.3,WarmStart,WarmStart
50,291,1577.8,,,2510.3,WarmStart,WarmStart
51,294,1390.4,,,2510.3,WarmStart,WarmStart
52,296,1681.2,,,2510.3,WarmStart,WarmStart
53,304,1302.8,,,2510.3,WarmStart,WarmStart
54,289,1571.2,2132.528564453125,270.3638916015625,2510.3,ActiveLearning,Continuing
55,73,2381.6,1784.5714111328125,356.4584655761719,2510.3,ActiveLearning,Continuing
56,106,2381.6,2135.012451171875,308.7379150390625,2510.3,ActiveLearning,Continuing
57,292,2372.4,2206.875732421875,162.0385284423828,2510.3,ActiveLearning,Continuing
58,99,2411.5,2213.933349609375,193.78115844726562,2510.3,ActiveLearning,Continuing
59,191,2411.5,2163.832763671875,216.4515380859375,2510.3,ActiveLearning,Continuing
60,31,2487.3,2153.212158203125,156.88661193847656,2510.3,ActiveLearning,Continuing
61,71,2501.1,2183.1787109375,301.46160888671875,2510.3,ActiveLearning,Continuing
62,206,2331.1,2352.592529296875,234.84329223632812,2510.3,ActiveLearning,Continuing
63,212,2249.6,2284.345458984375,276.3435974121094,2510.3,ActiveLearning,Continuing
64,273,2402.3,2295.632568359375,91.13202667236328,2510.3,ActiveLearning,Continuing
65,306,2510.3,2240.9189453125,126.1541748046875,2510.3,ActiveLearning,Max yield strength in Dataset reached
