Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max yield strength in Dataset,Phase,Stopping Reason
0,73,2381.6,,,2510.3,WarmStart,WarmStart
1,107,1309.1,,,2510.3,WarmStart,WarmStart
2,1,1502.0,1952.599365234375,525.4152221679688,2510.3,ActiveLearning,Continuing
3,9,1155.0,1958.259033203125,454.9124450683594,2510.3,ActiveLearning,Continuing
4,244,1081.1,1960.3155517578125,478.8323669433594,2510.3,ActiveLearning,Continuing
5,99,2411.5,2011.2545166015625,458.67706298828125,2510.3,ActiveLearning,Continuing
6,273,2402.3,2257.90869140625,338.1343994140625,2510.3,ActiveLearning,Continuing
7,206,2331.1,2345.30517578125,227.26858520507812,2510.3,ActiveLearning,Continuing
8,71,2501.1,2273.22216796875,285.5916442871094,2510.3,ActiveLearning,Continuing
9,191,2411.5,2245.49267578125,358.5346984863281,2510.3,ActiveLearning,Continuing
10,212,2249.6,2275.690673828125,329.62078857421875,2510.3,ActiveLearning,Continuing
11,106,2381.6,2386.7958984375,27.221694946289062,2510.3,ActiveLearning,Continuing
12,292,2372.4,2375.06005859375,43.53255081176758,2510.3,ActiveLearning,Continuing
13,31,2487.3,2191.6845703125,349.21551513671875,2510.3,ActiveLearning,Continuing
14,147,1736.3,2183.91943359375,333.2803649902344,2510.3,ActiveLearning,Continuing
15,306,2510.3,2187.21533203125,269.8189392089844,2510.3,ActiveLearning,Max yield strength in Dataset reached
