Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max yield strength in Dataset,Phase,Stopping Reason
0,73,2381.6,,,2510.3,WarmStart,WarmStart
1,107,1309.1,,,2510.3,WarmStart,WarmStart
2,1,1502.0,1952.599365234375,525.4152221679688,2510.3,ActiveLearning,Continuing
3,9,1155.0,1958.259033203125,454.9124450683594,2510.3,ActiveLearning,Continuing
4,244,1081.1,1960.3155517578125,478.8323669433594,2510.3,ActiveLearning,Continuing
5,99,2411.5,2011.2545166015625,458.67706298828125,2510.3,ActiveLearning,Continuing
6,273,2402.3,2257.90869140625,338.1343994140625,2510.3,ActiveLearning,Continuing
7,71,2501.1,2289.810302734375,299.5209655761719,2510.3,ActiveLearning,Continuing
8,191,2411.5,2225.555419921875,410.87445068359375,2510.3,ActiveLearning,Continuing
9,212,2249.6,2325.137939453125,310.00189208984375,2510.3,ActiveLearning,Continuing
10,31,2487.3,2156.270751953125,397.6473083496094,2510.3,ActiveLearning,Continuing
11,147,1736.3,2169.73095703125,325.2573547363281,2510.3,ActiveLearning,Continuing
12,306,2510.3,2182.175537109375,275.6209716796875,2510.3,ActiveLearning,Max yield strength in Dataset reached
