Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max yield strength in Dataset,Phase,Stopping Reason
0,4,1322.1,,,2510.3,WarmStart,WarmStart
1,5,1164.4,,,2510.3,WarmStart,WarmStart
2,20,1536.5,,,2510.3,WarmStart,WarmStart
3,24,1383.7,,,2510.3,WarmStart,WarmStart
4,25,1005.9,,,2510.3,WarmStart,WarmStart
5,32,1226.4,,,2510.3,WarmStart,WarmStart
6,40,2157.3,,,2510.3,WarmStart,WarmStart
7,43,1026.6,,,2510.3,WarmStart,WarmStart
8,49,1550.3,,,2510.3,WarmStart,WarmStart
9,57,1235.9,,,2510.3,WarmStart,WarmStart
10,73,2381.6,,,2510.3,WarmStart,WarmStart
11,76,1669.3,,,2510.3,WarmStart,WarmStart
12,84,1278.2,,,2510.3,WarmStart,WarmStart
13,92,1280.7,,,2510.3,WarmStart,WarmStart
14,93,1755.2,,,2510.3,WarmStart,WarmStart
15,96,1233.3,,,2510.3,WarmStart,WarmStart
16,106,2381.6,,,2510.3,WarmStart,WarmStart
17,113,1405.6,,,2510.3,WarmStart,WarmStart
18,118,1603.3,,,2510.3,WarmStart,WarmStart
19,130,1109.3,,,2510.3,WarmStart,WarmStart
20,151,1109.3,,,2510.3,WarmStart,WarmStart
21,155,1344.4,,,2510.3,WarmStart,WarmStart
22,156,1550.3,,,2510.3,WarmStart,WarmStart
23,159,2356.4,,,2510.3,WarmStart,WarmStart
24,170,1274.7,,,2510.3,WarmStart,WarmStart
25,184,1012.8,,,2510.3,WarmStart,WarmStart
26,187,1870.6,,,2510.3,WarmStart,WarmStart
27,194,1233.3,,,2510.3,WarmStart,WarmStart
28,201,1586.7,,,2510.3,WarmStart,WarmStart
29,210,1580.0,,,2510.3,WarmStart,WarmStart
30,214,1529.6,,,2510.3,WarmStart,WarmStart
31,220,1373.9,,,2510.3,WarmStart,WarmStart
32,233,1088.6,,,2510.3,WarmStart,WarmStart
33,240,1267.1,,,2510.3,WarmStart,WarmStart
34,264,1288.4,,,2510.3,WarmStart,WarmStart
35,274,1486.2,,,2510.3,WarmStart,WarmStart
36,288,1768.0,,,2510.3,WarmStart,WarmStart
37,289,1571.2,,,2510.3,WarmStart,WarmStart
38,302,1311.1,,,2510.3,WarmStart,WarmStart
39,308,1258.6,,,2510.3,WarmStart,WarmStart
40,99,2411.5,2221.10986328125,244.63771057128906,2510.3,ActiveLearning,Continuing
41,206,2331.1,2307.394287109375,178.78115844726562,2510.3,ActiveLearning,Continuing
42,31,2487.3,2204.61865234375,251.15011596679688,2510.3,ActiveLearning,Continuing
43,273,2402.3,2276.486572265625,115.4977035522461,2510.3,ActiveLearning,Continuing
44,71,2501.1,2080.27587890625,310.9683837890625,2510.3,ActiveLearning,Continuing
45,292,2372.4,2194.19482421875,290.623046875,2510.3,ActiveLearning,Continuing
46,191,2411.5,2094.075439453125,314.2709655761719,2510.3,ActiveLearning,Continuing
47,212,2249.6,2113.29052734375,323.71563720703125,2510.3,ActiveLearning,Continuing
48,306,2510.3,2121.87255859375,278.16339111328125,2510.3,ActiveLearning,Max yield strength in Dataset reached
