dataset,model,alpha,warmstart_points,warm_n,warm_mean_iters,warm_median_iters,warm_std_iters,rand_n,rand_mean_iters,rand_median_iters,rand_std_iters,delta_mean_warm_minus_rand,delta_median_warm_minus_rand
Membrane_dataset,BNN,0.1,5,1.0,38.0,38.0,0.0,1.0,26.0,26.0,0.0,12.0,12.0
Membrane_dataset,BNN,0.1,6,2.0,19.5,19.5,17.5,2.0,13.0,13.0,11.0,6.5,6.5
Membrane_dataset,BNN,0.1,7,1.0,30.0,30.0,0.0,1.0,24.0,24.0,0.0,6.0,6.0
Membrane_dataset,BNN,0.1,9,1.0,1.0,1.0,0.0,1.0,21.0,21.0,0.0,-20.0,-20.0
Membrane_dataset,BNN,0.1,10,2.0,11.5,11.5,10.5,2.0,11.0,11.0,9.0,0.5,0.5
Membrane_dataset,BNN,0.1,11,3.0,15.0,18.0,10.424330514074594,3.0,22.666666666666668,20.0,3.7712361663282534,-7.666666666666668,-2.0
Membrane_dataset,BNN,0.1,13,1.0,5.0,5.0,0.0,1.0,20.0,20.0,0.0,-15.0,-15.0
Membrane_dataset,BNN,0.1,15,1.0,29.0,29.0,0.0,1.0,26.0,26.0,0.0,3.0,3.0
Membrane_dataset,BNN,0.1,16,1.0,21.0,21.0,0.0,1.0,30.0,30.0,0.0,-9.0,-9.0
Membrane_dataset,BNN,0.1,17,1.0,1.0,1.0,0.0,1.0,4.0,4.0,0.0,-3.0,-3.0
Membrane_dataset,BNN,0.5,5,1.0,33.0,33.0,0.0,1.0,26.0,26.0,0.0,7.0,7.0
Membrane_dataset,BNN,0.5,6,2.0,19.5,19.5,17.5,2.0,13.0,13.0,11.0,6.5,6.5
Membrane_dataset,BNN,0.5,7,1.0,30.0,30.0,0.0,1.0,23.0,23.0,0.0,7.0,7.0
Membrane_dataset,BNN,0.5,9,1.0,1.0,1.0,0.0,1.0,21.0,21.0,0.0,-20.0,-20.0
Membrane_dataset,BNN,0.5,10,2.0,11.5,11.5,10.5,2.0,11.0,11.0,9.0,0.5,0.5
